propuesta,tipo,instituciones,programas,matricula,n_variantes,variantes,revisar,firma
ANATOMIA PATOLOGICA Y LABORATORIO CLINICO,Médica,1,1,1,1,ANATOMIA PATOLOGICA Y LABORATORIO CLINICO,una sola institución: puede ser un duplicado sin unir,ANATOMIA CLINICO LABORATORIO PATOLOGICA
SUBESPECIALIDAD MEDICA EN ARRITMOLOGIA Y ELECTROFISIOLOGIA CARDIACA,Médica,1,1,1,1,SUBESPECIALIDAD MEDICA EN ARRITMOLOGIA Y ELECTROFISIOLOGIA CARDIACA,una sola institución: puede ser un duplicado sin unir,ARRITMOLOGIA CARDIACA ELECTROFISIOLOGIA MEDICA SUBESPECIALIDAD
SUBESPECIALIDAD MEDICA EN CIRUGIA CARDIOVASCULAR,Médica,1,1,1,1,SUBESPECIALIDAD MEDICA EN CIRUGIA CARDIOVASCULAR,una sola institución: puede ser un duplicado sin unir,CARDIOVASCULAR CIRUGIA MEDICA SUBESPECIALIDAD
CIRUGIA ONCOLOGICA DIGESTIVA,Médica,1,1,1,1,CIRUGIA ONCOLOGICA DIGESTIVA,una sola institución: puede ser un duplicado sin unir,CIRUGIA DIGESTIVA ONCOLOGICA
CIRUGIA VASCULAR,Médica,1,1,1,1,CIRUGIA VASCULAR,una sola institución: puede ser un duplicado sin unir,CIRUGIA VASCULAR
FORMACION DE SUBESPECIALIDAD EN COLOPROCTOLOGIA,Médica,1,1,1,1,FORMACION DE SUBESPECIALIDAD EN COLOPROCTOLOGIA,quedan palabras administrativas,COLOPROCTOLOGIA FORMACION SUBESPECIALIDAD
NEURORRADIOLOGIA DIAGNOSTICA INTERVENCIONAL,Médica,1,1,1,1,NEURORRADIOLOGIA DIAGNOSTICA INTERVENCIONAL,una sola institución: puede ser un duplicado sin unir,DIAGNOSTICA INTERVENCIONAL NEURORRADIOLOGIA
ENFERMERIA EN DIALISIS Y TRANSPLANTE RENAL,Médica,1,1,1,1,ENFERMERIA EN DIALISIS Y TRANSPLANTE RENAL,una sola institución: puede ser un duplicado sin unir,DIALISIS ENFERMERIA RENAL TRANSPLANTE
SUB ESPECIALIDAD NEONATOLOGIA,Médica,1,1,1,1,SUB ESPECIALIDAD NEONATOLOGIA,quedan palabras administrativas,ESPECIALIDAD NEONATOLOGIA SUB
SUBESPECIALIDAD MEDICA EN HEMATOLOGIA Y ONCOLOGIA PEDIATRICA,Médica,1,1,1,1,SUBESPECIALIDAD MEDICA EN HEMATOLOGIA Y ONCOLOGIA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,HEMATOLOGIA MEDICA ONCOLOGIA PEDIATRICA SUBESPECIALIDAD
