k,id_proceso,tipo_cna,institucion_cna,Acreditación Extendida,Total de Procesos,Gestión Institucional,Docencia de Pregrado,Investigación,Vinculación con el Medio,Docencia de Postgrado,Docencia y Resultados del Proceso de Formación,Gestión Estratégica y Recursos Institucionales,Aseguramiento Interno de la Calidad,"Investigación, Creación y/o Innovación",resultado,nivel,anios,desde,hasta,agencia,Decisión /Fecha Sesión,Decisión/Agencia,Decisión/Resultado Acreditacíón,Decisión/Años,Decisión/Fecha Vigencia Desde,Decisión/Fecha Vigencia Hasta,Reposición/Fecha Sesión,Reposición/Agencia,Reposición/Resultado,Reposición/Años,Reposición/Fecha Vigencia Desde,Reposición/Fecha Vigencia Hasta,Apelación/Fecha Sesión,Apelación/Agencia,Apelación/Resultado,Apelación/Años,Apelación/Fecha Vigencia Desde,Apelación/Fecha Vigencia Hasta,resultado_raw,en_proceso,rescatado,anio_acreditacion,marco,nivel_derivado,cubre
IP PROJAZZ,INST-00141-01-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL PROJAZZ,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-06-07,2027-06-07,CNA-CHILE,07/06/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,07/06/2023,07/06/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
IP PROVIDENCIA,INST-00023-05-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL PROVIDENCIA,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,AVANZADO,4,2025-12-17,2029-12-17,CNA-CHILE,17/12/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,17/12/2025,17/12/2029,08/07/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,4,17/12/2025,17/12/2029,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
IP SAN SEBASTIAN,INST-00103-05-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL SAN SEBASTIÁN,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,AVANZADO,4,2025-09-25,2029-09-25,CNA-CHILE,25/09/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,25/09/2025,25/09/2029,,,,,,,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
IP SANTO TOMAS,INST-00024-06-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL SANTO TOMÁS,Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,5,2021-01-20,2026-01-20,,20/01/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,20/01/2021,20/01/2026,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2021,Ley 21.091,False,False
IP VALLE CENTRAL,INST-00086-04-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL VALLE CENTRAL,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,19/07/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
IP VIRGINIO GOMEZ,INST-00025-06-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL VIRGINIO GÓMEZ,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,AVANZADO,5,2025-10-15,2030-10-15,CNA-CHILE,15/10/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,15/10/2025,15/10/2030,22/04/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,5,15/10/2025,15/10/2030,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
U ACADEMIA DE HUMANISMO CRISTIANO,INST-00028-06-00,UNIVERSIDAD,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,4,2022-08-10,2026-08-10,CNA-CHILE,10/08/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,10/08/2022,10/08/2026,15/03/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,4,10/08/2022,10/08/2026,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
U ACONCAGUA,INST-00146-02-00,UNIVERSIDAD,UNIVERSIDAD DE ACONCAGUA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,,,,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
U ADOLFO IBANEZ,INST-00029-04-00,UNIVERSIDAD,UNIVERSIDAD ADOLFO IBÁÑEZ,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2021-10-14,2027-10-14,CNA-CHILE,14/10/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,14/10/2021,14/10/2027,,,,,,,,,,,,,ACREDITADA,False,False,2021,Ley 21.091,False,True
U ADVENTISTA DE CHILE,INST-00030-06-00,UNIVERSIDAD,UNIVERSIDAD ADVENTISTA DE CHILE,Si,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,BÁSICO,3,2023-04-11,2026-04-11,,11/01/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,11/04/2023,11/04/2026,13/07/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,3,11/04/2023,11/04/2026,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2023,Ley 21.091,False,False
U ALBA,INST-00072-06-00,UNIVERSIDAD,UNIVERSIDAD DEL ALBA,Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,BÁSICO,3,2023-03-22,2026-03-22,,22/03/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,22/03/2023,22/03/2026,14/09/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,3,22/03/2023,22/03/2026,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2023,Ley 21.091,False,False
U ALBERTO HURTADO,INST-00031-05-00,UNIVERSIDAD,UNIVERSIDAD ALBERTO HURTADO,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,AVANZADO,5,2025-06-26,2030-06-26,CNA-CHILE,26/06/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,26/06/2025,26/06/2030,05/11/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,5,26/06/2025,26/06/2030,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
